DATAFLOW,LAST UPDATE,freq,unit,c_resid,nace_r2,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,FR,2013,142472501,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,FR,2014,141538912,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,FR,2015,145209146,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,FR,2016,146012242,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,FR,2017,153835755,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,FR,2018,156714702,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,FR,2019,161358577,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,FR,2020,89584736,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,FR,2021,114542959,e
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HR,2012,10744103,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HR,2013,11235616,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HR,2014,11584144,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HR,2015,12593483,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HR,2016,13763990,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HR,2017,15213826,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HR,2018,16130934,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HR,2019,16821805,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HR,2020,6818640,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HR,2021,12333327,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HU,2012,8160666,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HU,2013,8565273,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HU,2014,9277948,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HU,2015,9907090,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HU,2016,10546187,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HU,2017,11176138,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HU,2018,11658897,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HU,2019,11944385,
ESTAT:TOUR_OCC_ARNRAW$DEFAULTVIEW(1.0),25/06/13 23:00:00,A,NR,EUR,I551-I553,HU,2020,5448614,
